id,feature,weight,chartype,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
c1,P1,50,standard,4,1,1,1,1,1,1,1,1,1,2,2,5,6,1,1,1,1,1,1,1,2,3,3
c2,P2,50,standard,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
c3,P3,50,standard,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1
c4,P4,50,standard,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
c5,P5,50,standard,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
c6,P6,50,standard,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
c7,P7,50,standard,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
c8,P8,50,standard,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
c9,P9,50,standard,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
c10,P10,50,standard,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
c11,P11,50,standard,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
c12,P12,50,standard,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
c13,P13,50,standard,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
c14,P14,50,standard,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
c15,P15,50,standard,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
c16,P16,50,standard,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
c17,P17,50,standard,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
c18,P18,50,standard,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1
c19,P19,50,standard,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
c20,P20,50,standard,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
c21,P21,50,standard,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
c22,P22,50,standard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
c23,M1a,1,standard,1,2,2,2,3,2,2,2,4,5,6,2,1,1,3,2,4,4,5,5,5,7,2,2
c24,M1b,1,standard,1,2,2,2,3,2,2,2,4,5,6,2,7,7,3,2,4,4,5,5,5,8,2,2
c25,M2,1,standard,2,1,1,3,4,1,1,5,6,7,8,9,10,11,12,1,13,14,15,16,17,18,19,20
c26,M3,50,standard,1,2,2,3,2,2,2,2,4,5,2,2,1,1,2,6,7,8,9,10,11,12,2,2
c27,M4,1,standard,1,4,1,5,3,6,7,8,9,10,11,2,12,13,3,14,15,16,17,18,19,20,21,22
c28,M5,50,standard,1,3,2,4,1,2,2,5,6,2,1,1,1,7,1,2,8,9,2,2,10,1,1,1
c29,M6,50,standard,4,5,2,6,1,2,2,2,2,2,3,3,7,8,1,2,2,2,2,2,2,3,3,3
c30,M8,50,standard,3,4,1,5,6,1,1,7,8,1,2,2,9,10,11,1,12,13,1,1,1,2,2,2
c31,M11,1,standard,1,1,1,3,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,1,5,2,2
c32,M12,50,standard,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3
c33,M13,50,standard,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2
c34,M14,50,standard,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
c35,M15,50,standard,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
c36,all1,1,standard,1,2,3,4,3,5,5,5,5,6,6,7,8,8,3,5,5,5,6,6,6,9,10,11
c37,all2,1,standard,1,2,3,4,3,5,5,12,12,6,13,7,8,8,3,5,12,12,6,6,6,9,10,11
c38,and,1,standard,1,2,3,4,5,6,6,7,7,8,9,10,1,1,11,6,12,13,14,15,8,6,16,10
c39,animal,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,15,16,17,10,10,10,18,19,20
c40,ashes1,1,standard,1,2,3,4,5,1,6,7,7,1,8,9,10,11,5,12,7,7,1,1,1,8,13,14
c41,ashes2,1,standard,1,2,3,4,5,1,6,7,15,16,8,9,10,11,5,12,15,15,16,16,16,8,13,14
c42,at,1,standard,1,2,3,4,5,6,7,8,8,9,10,9,11,12,5,13,8,14,9,9,9,15,9,9
c43,bad,1,standard,1,2,3,4,1,5,6,7,8,9,10,11,1,12,13,14,15,16,9,17,9,18,11,19
c44,bark,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,10,21,22,23
c45,because,1,standard,1,1,2,3,4,5,5,6,7,8,9,10,11,12,4,13,14,7,15,16,17,18,19,20
c46,belly1,1,standard,1,2,3,4,5,6,6,7,8,9,10,11,12,13,5,14,6,6,9,9,9,15,16,17
